#検索キーワード	辞書	match	count	結果1	結果1_ID	結果1_検索順位	結果2	結果2_ID	結果2_検索順位	結果3	結果3_ID	結果3_検索順位	結果4	結果4_ID	結果4_検索順位	結果5	結果5_ID	結果5_検索順位	結果6	結果6_ID	結果6_検索順位	結果7	結果7_ID	結果7_検索順位	結果8	結果8_ID	結果8_検索順位	結果9	結果9_ID	結果9_検索順位	結果10	結果10_ID	結果10_検索順位
(Di)nucleoside polyphosphate hydrolase	univ	cs	10	nucleoside triphosphate pyrophosphohydrolase	f7b3efbef5dd7353b7d9a17e665ed7d6mlt_after	0	Ectonucleoside triphosphate diphosphohydrolase 1	f30cac3de6a06f4677deb6f97ab19223mlt_after	0	Ectonucleoside triphosphate diphosphohydrolase 2	b21f6968fb91c161620b75e330620abcmlt_after	0	Ectonucleoside triphosphate diphosphohydrolase 3	6ecfbbd60bfc6168360da298d95583ffmlt_after	0	Ectonucleoside triphosphate diphosphohydrolase 4	3f220d836a7357e78bf6ddd13cd2b1damlt_after	0	Ectonucleoside triphosphate diphosphohydrolase 5	35d554e0c781f80f4030c550382009a9mlt_after	0	Ectonucleoside triphosphate diphosphohydrolase 6	e20663b67b521861fb84c99663f8bf05mlt_after	0	Ectonucleoside triphosphate diphosphohydrolase 7	dede01f17fc35c5962ca617d27baed34mlt_after	0	Ectonucleoside triphosphate diphosphohydrolase 8	3dbf20e84a055291807a351eb047204cmlt_after	0	2'-deoxynucleoside 5'-phosphate N-hydrolase 1	dfde688d78db3424f514f5d183da0347mlt_after	0
2,3,4,5-tetrahydropyridine-2-carboxylate N-succinyltransferase DapD	univ	cs	10	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase	3f35908baabc732a50b168eb0a43a118mlt_after	1	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase	7614e42fafeb5b0d7cd1acc79587d3e3mlt_after	2	arginine N-succinyltransferase	0dbfcc9fd8fd151b3af4cfe944f2edb0mlt_after	3	Delta(1)-pyrroline-2-carboxylate/Delta(1)-piperideine-2-carboxylate reductase	e2f25d4c76124e4f418f3c5168569cc8mlt_after	0	2-hydroxychromene-2-carboxylate isomerase	d4567c6d8b0c97b10bec7e58008f2512mlt_after	0	Serine O-succinyltransferase	143f9a7905b3e90ee370e82a1ead6950mlt_after	0	3-hydroxy-2-methylpyridine-4,5-dicarboxylate 4-decarboxylase	db0529e9d31d31bae9dc22b019ba0309mlt_after	0	N-succinyldiaminopimelate aminotransferase DapC	760157650894904c72a19114a1051b70mlt_after	0	Arginine N-succinyltransferase subunit beta	4ab8ddf66ab41d5afd86f84c32c6b96emlt_after	0	Phenazine-1-carboxylate N-methyltransferase	098569eae0d70b78d74dd4b481c5578amlt_after	0
3-dehydroquinate dehydratase, type II	univ	cs	10	type II 3-dehydroquinate dehydratase	009c6e6f44459c314006c4b6769cf7acmlt_after	1	type I 3-dehydroquinate dehydratase	3809c62385a5f3c2790b2cee71069fa4mlt_after	6	3-dehydroquinate dehydratase	c6679d82df283c4bd62b98d98cdf3419mlt_after	3	3-dehydroquinate dehydratase 1	09cf32d6cd493db91c1f415cba1a3a4amlt_after	7	3-dehydroquinate dehydratase 2	ab487641e4bf9f26e8f7ec8a8e076316mlt_after	2	Dehydroquinate dehydratase	243d5698928c2ab45481078f9e623212mlt_after	4	Catabolic 3-dehydroquinate dehydratase	3b8557f35d52d0e0eb985e689b4c2548mlt_after	5	3-dehydroquinate synthase II	107b78c634f52e009a2399bfb149a448mlt_after	9	bifunctional 3-dehydroquinate dehydratase/shikimate dehydrogenase protein	ff5eee5c6769f9be3558b4f95b90c360mlt_after	10	3-dehydroquinate synthase	fc2cf3985f2b20734250009ef419c51fmlt_after	8
3-deoxy-D-manno-octulosonate 8-phosphate phosphatase (KDO 8-P phosphatase)	univ	cs	10	3-deoxy-D-manno-octulosonate 8-phosphate phosphatase KdsC	4a29ace03fec102f84bed184c3f070acmlt_after	1	3-deoxy-manno-octulosonate-8-phosphatase KdsC	b4c5bde1187f4c4561641d7e4b8ca9a1mlt_after	2	3-deoxy-D-manno-octulosonic acid kinase	3678abe2452d128e9b307d0fb409d973mlt_after	3	3-deoxy-alpha-D-manno-octulosonate 8-oxidase	752769a2a8689ab009ee22511784a661mlt_after	4	3-deoxy-D-manno-octulosonic acid transferase	247cedd76c53a5fa96fe76efa287ec44mlt_after	5	3-deoxy-D-manno-oct-2-ulosonate III transferase WaaZ	6d81581aa5be9fad7d3329bd48a346afmlt_after	7	3-deoxy-D-manno-octulosonic acid transferase, mitochondrial	0c83e4546b79ed86c28f007d317d0d5cmlt_after	8	3-deoxy-8-phosphooctulonate synthase	f953af93289ee39a1e2ed0fcb2ee36e1mlt_after	6	3-deoxy-manno-octulosonate cytidylyltransferase	139d340640270e9ac4fc1b84a6778ee6mlt_after	0	3-deoxy-manno-octulosonate cytidylyltransferase 1	acba02307a16664e9889c7ecab3552d0mlt_after	0
3-deoxy-D-manno-octulosonate cytidylyltransferase	univ	cs	10	3-deoxy-manno-octulosonate cytidylyltransferase	139d340640270e9ac4fc1b84a6778ee6mlt_after	1	3-deoxy-manno-octulosonate cytidylyltransferase 1	acba02307a16664e9889c7ecab3552d0mlt_after	2	3-deoxy-manno-octulosonate cytidylyltransferase 2	34507662ae5335d4fe5d72abc0dd2c8bmlt_after	3	8-amino-3,8-dideoxy-manno-octulosonate cytidylyltransferase	7791deb3f324671bbdf0444dd79fb047mlt_after	4	3-deoxy-manno-octulosonate cytidylyltransferase, mitochondrial	ace27e9c0645ea13e33ed8cb2423cd61mlt_after	5	3-deoxy-D-manno-octulosonic acid transferase	247cedd76c53a5fa96fe76efa287ec44mlt_after	6	3-deoxy-D-manno-oct-2-ulosonate III transferase WaaZ	6d81581aa5be9fad7d3329bd48a346afmlt_after	10	3-deoxy-D-manno-octulosonic acid kinase	3678abe2452d128e9b307d0fb409d973mlt_after	7	3-deoxy-D-manno-octulosonic acid transferase, mitochondrial	0c83e4546b79ed86c28f007d317d0d5cmlt_after	8	3-deoxy-D-manno-octulosonate 8-phosphate phosphatase KdsC	4a29ace03fec102f84bed184c3f070acmlt_after	9
3-oxoacyl-(acyl-carrier-protein) reductase	univ	cs	10	3-oxoacyl-[acyl-carrier-protein] reductase	85e0039815e5a34c6342677a7882fd1emlt_after	1	3-oxoacyl-[acyl-carrier-protein] reductase 4	22191595209cd872004a8ef1cd37a678mlt_after	2	3-ketoacyl-(acyl-carrier-protein) reductase	00c4289e1f208dc84179e1537d28e8bbmlt_after	3	3-oxoacyl-[acyl-carrier-protein] reductase FabG	d85c7b9cfb10270d75e8dcb83f4a17c2mlt_after	4	3-oxoacyl-[acyl-carrier-protein] reductase FabG1	5b3558168d0d7a1243059d692fec7f3amlt_after	5	3-ketoacyl-(acyl-carrier-protein) reductase NodG	64b052a12bf7380e43a3b5d5258aee1bmlt_after	6	3-oxoacyl-(acyl carrier protein) synthase	89fdd931dd8caea3740113ef28feff4bmlt_after	7	3-oxoacyl-(acyl carrier protein) synthase II	2ebe6ad93b8058b2c4c000b835991998mlt_after	8	3-oxoacyl-(acyl carrier protein) synthase III	bf6a7eca431cda667d33e66e601472edmlt_after	9	3-oxoacyl-[acyl-carrier-protein] reductase 1, chloroplastic	10e4a311d971dca5bd62ccf795c0121fmlt_after	10
3-polyprenyl-4hydroxybenzoate decarboxylase	univ	cs	10	4-hydroxy-3-polyprenylbenzoate decarboxylase	f694f102727774d4bab59304b45aeb87mlt_after	1	3-octaprenyl-4-hydroxybenzoate carboxy-lyase	1d7167e50120b082eb3a6e2dcf410c3amlt_after	2	2,3-dihydroxybenzoate decarboxylase	8d02b1827e95020f4802b7369c2ff8eamlt_after	4	3,4-dihydroxybenzoate decarboxylase	374f43d7ca46dfde1881ec794c331eafmlt_after	3	4-hydroxybenzoate decarboxylase subunit C	e9935ba07880d8e351fbc61bb27baf47mlt_after	5	p-hydroxybenzoate hydroxylase	4218b3bee04325dcccb689d3421b2be4mlt_after	6	3-hydroxybenzoate 6-hydroxylase	a9ac4e21293b6c6e80234de1af70d6f6mlt_after	7	3-hydroxybenzoate--CoA/4-hydroxybenzoate--CoA ligase	e45123e36d23fdfea7afd0ba041e95c4mlt_after	10	3-hydroxybenzoate 6-hydroxylase 1	c3d072ac6de6f99bd133f2ae537dfa01mlt_after	8	3-hydroxybenzoate 6-hydroxylase 2	b4926830fe1053d46a3e991269b4b5damlt_after	9
4Fe-4S ferredoxin, iron-sulfur binding	univ	cs	10	4Fe-4S ferredoxin FdxA	202550df1fdeb6d95173083ab04246c2mlt_after	1	iron-sulfur-binding oxidoreductase FadF	9f642b359a6e5d4eb31b3e8fc93aa571mlt_after	0	Aldehyde oxidoreductase iron-sulfur-binding subunit PaoA	711bc3509da565c745f03e9692e8b2aamlt_after	0	Xanthine dehydrogenase iron-sulfur-binding subunit	c1c8123b8deeedc20b30e3216e392c56mlt_after	0	xanthine dehydrogenase iron-sulfur-binding subunit XdhC	5e24d4d78b704bde452f8f8ba9c8f845mlt_after	0	ferredoxin:protochlorophyllide reductase (ATP-dependent) iron-sulfur ATP-binding protein	9432fc42698c68c3d703a6f668aa50dcmlt_after	0	Uncharacterized P450-system 3Fe-4S ferredoxin y4lB	ac1d44ffb6124de01da98f5902b3aa58mlt_after	0	Iron-sulfur protein IND1	ccd36a9dcd3137c83ed0138029be1bbemlt_after	0	Uncharacterized P450-system 3Fe-4S ferredoxin blr2145.1	fa2a1728678a13804b9da5548b9bef3emlt_after	0	Iron-sulfur cluster repair protein DnrN	c8d5adf9081cef40056daee0d0357ce1mlt_after	0
4Fe-4S ferredoxin, iron-sulfur binding domain protein	univ	cs	10	4Fe-4S ferredoxin FdxA	202550df1fdeb6d95173083ab04246c2mlt_after	1	iron-sulfur-binding oxidoreductase FadF	9f642b359a6e5d4eb31b3e8fc93aa571mlt_after	0	ferredoxin:protochlorophyllide reductase (ATP-dependent) iron-sulfur ATP-binding protein	9432fc42698c68c3d703a6f668aa50dcmlt_after	0	Ferredoxin-fold anticodon-binding domain-containing protein 1	5f94800f09afe0fcc98bdf7cfeaf6c99mlt_after	0	Aldehyde oxidoreductase iron-sulfur-binding subunit PaoA	711bc3509da565c745f03e9692e8b2aamlt_after	0	Xanthine dehydrogenase iron-sulfur-binding subunit	c1c8123b8deeedc20b30e3216e392c56mlt_after	0	Ferredoxin-fold anticodon-binding domain-containing protein 1 homolog	6fb135ea85986818f78c57c16e44bba8mlt_after	0	Iron-sulfur protein IND1	ccd36a9dcd3137c83ed0138029be1bbemlt_after	0	xanthine dehydrogenase iron-sulfur-binding subunit XdhC	5e24d4d78b704bde452f8f8ba9c8f845mlt_after	0	CDGSH iron-sulfur domain-containing protein 1	67ff48349118140f5e2dbc5108146e82mlt_after	0
5,10-methenyltetrahydrofolate synthetase	univ	cs	10	Formyltetrahydrofolate synthetase	d87aa66692a09c5366505cac86d2c3f5mlt_after	1	Methenyltetrahydrofolate cyclohydrolase	8c84c14543d69bf3da074cae829880fbmlt_after	2	Methenyltetrahydrofolate synthase domain-containing protein	8ce6703cc09130007618e61ab88aa134mlt_after	4	5,10-methylenetetrahydrofolate reductase	152962c78590f9e48a7999e076708d06mlt_after	3	bifunctional tetrahydrofolate synthase/dihydrofolate synthase	6c8a005186ad5866f8c1a5493cc8e548mlt_after	5	5,10-methenyltetrahydromethanopterin hydrogenase	cd1feaf4038a1f585138eaefbca9eeb3mlt_after	6	bifunctional 5,10-methylene-tetrahydrofolate dehydrogenase/ 5,10-methylene-tetrahydrofolate cyclohydrolase	33883dbc6157b3106473502d5f5f318emlt_after	7	Dihydrofolate synthetase	63283532a72083295641cf513b7f092amlt_after	8	bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase	f796602b705d9006eab1589a88aa7dc8mlt_after	9	bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase FolD	f6da3a09e6cf36916e30ed56a73b1d1amlt_after	9
